순위,지역,이미지,위도,경도,타겟반경
1,서울,https://goguides.azureedge.net/media/s3rp4ate/2029352e-a052-4592-8912-9399f1fdf8d9.jpg,37.5665,126.9780,11
2,부산,https://goguides.azureedge.net/media/tuyd2k0l/ff270ab5-b325-4090-9dc0-0662678fb965.jpg,35.1796,129.0756,12
3,제주시,https://goguides.azureedge.net/media/fzvl5pqz/245ce1ee-2bf1-44a8-a5cd-2e0e4bcb7678.jpg,33.4996,126.5312,8
4,인천,https://goguides.azureedge.net/media/xn2jgrjz/7db7c35a-6af7-4e67-8731-43054d6e3dbe.jpg,37.4563,126.7052,10
5,여수,https://goguides.azureedge.net/media/shiljamw/157ac754-8ee5-44d6-a55e-5ad6f6a09771.jpg,34.7604,127.6622,7
6,수원,https://goguides.azureedge.net/media/adehin3j/911ec313-bba0-460c-9076-b8dbcda2596c.jpg,37.2636,127.0286,7
7,대전,https://goguides.azureedge.net/media/xdlps3b3/097c8b7a-3bb5-4be3-ad27-5088ca6b8040.jpg,36.3504,127.3845,8
8,광주,https://goguides.azureedge.net/media/jdyhdj5m/747b786b-adbb-4985-a75f-d99d99c3733e.jpg,35.1595,126.8526,8
9,대구,https://goguides.azureedge.net/media/14cb10o0/dbfcf566-e230-4857-98ef-739ce2b327fd.jpg,35.8714,128.6014,9
10,속초,https://goguides.azureedge.net/media/nr0disws/658cb1f7-18b6-44d8-a8ee-5e545870c1d6.jpg,38.2070,128.5918,5 
